"","scenario_id","type_id","local_card_id","keyword1","keyword2","keyword3","description"
0,1,1,1,"ME","growth","revenue","ME had stable growth in their sales revenue of 12%. Last year, the revenue was $450 million."
1,1,1,2,"ME","lobbying","expenditures","To maintain the advantage in bargaining with governments, the company should maintain $500 million in expenditures for lobbying to support the related advocacy groups and NGOs."
2,1,1,3,"NJ","vaccine","effectiveness","The company is developing a new generation vaccine for influenza. According to previous studies, the vaccine\'s effectiveness could reach 70% with a 35% increase."
3,1,1,4,"NJ","patent","influenza","NJ owns research centers in East Asia and partnered with top universities. The research centers own patents for drugs in several diseases related to influenza. These patents are valued at over $500 million."
4,1,1,5,"NJ","partnerships","factories","NJ partners with local manufacturers and owns several factories that mainly produce over-the-counter drugs. The relationship is believed to generate over $100 million in benefits."
5,1,1,6,"NJ","grow","research","The research and development expense is continually growing. It is expected that an additional $300 million would be required in the following years for the ongoing projects."
6,1,1,7,"PI","partnership","pharma","The company just started a partnership with a famous pharma, ""ZA,"" and announced a project on drug development. It is expected that the cost of interference would be about $500 million."
7,1,1,8,"PI","ZA","acquision","If the partnership with famous pharma ""ZA"" can keep going after the acquisition, the total payoff for the future is expected to be $400 million."
8,1,1,9,"PI","compensation","strike","The employees of PI threatened that they would call for a strike if their company was merged. The cost of employee compensation is expected to be over $50 million."
9,1,1,10,"SA","effectiveness","cost","The effectiveness of small molecule drugs for common diseases, including flu, is similar to traditional medicines. However, the cost of production could be cut down by 15% by SA."
10,1,1,11,"SA","debt","loss","SA still gained no profit since it was founded. There is a additional long-term debt on the account is $300 million discovered recently. If acquired by AAA, the debt will be counted as the cost for acquisition."
11,1,1,12,"SA","profit","consultants","SA did not generate any profit from its core business yet. Recently, the consultants discovered that there is an additional $300 million in long-term debt for SA. If AAA acquired SA, the amount should be counted into its cost."
12,1,1,13,"SA","benefits","successful rate","The next-generation vaccine is expected to generate $1 billion in benefits if it succeeds. The successful rate is believed to be over 60% at this stage."
13,1,1,14,"Europe","factories","storm","A severe winter storm strikes Europe this winter. Several important factories in Europe were destroyed. The cost of recovery is about $300 million."
14,1,1,15,"NJ","economic","aquire","Acquiring NJ can bring not only patent benefits but also strengthen the economic scale of AAA."
15,1,1,16,"ME","Asia","Influenza","A long-term partner with AAA,the company ME is the largest medicine distributor for influenza in Asia."
16,1,1,17,"ME","expansion","AAA","Suppose AAA tries to expand its business sector for influenza treatment in Asia. In that case, the largest medicine distributor in Asia, ME, will be a candidate with potential."
17,1,1,18,"ME","AAA","relationship","AAA\'s board members maintained a good relationship with ME\'s CEO. They had several public and private meetings during the last five years."
18,1,1,19,"NJ","safety","vaccine","The company announced the result of a phase 3 study on a new vaccine for influenza. Clinical benefits continued to be observed across all the subgroups, and no safety signals were observed in longer follow-ups."
19,1,1,20,"PI","AAA","Benefit","The partnership built by ZA is believed to go on after AAA requires ZA. These partnerships can benefit AAA for about a $400 million payoff."
20,1,1,21,"PI","labor union","charges","The company had several charges filed against it with the National Labor Relations Board in the past ten years. The labor union and the board have had severe opposition since 2015."
21,1,1,22,"SA","influenza","pre-clinic","SA is working on the next-generation vaccine for influenza. The project started two years ago and partnered with leading research institutions. The vaccine development is in the pre-clinical stage."
22,1,1,23,"labor force","shortage","expenditure","The market growth is limited due to the labor force shortage, especially the skilled laborers for research and development. It is expected that the expenditure on labor will increase by 20%"
