condition_id,scenario_id_1,scenario_id_2,scenario_id_3,case_id,player_limit,ai_player_limit,round_limit,game_limit,survey_delay,scenario_some_id_1,information_card_id_1,comp_information_card_id_1,game_end_survey_id_1,feedback_id_1,scenario_some_id_2,information_card_id_2,comp_information_card_id_2,game_end_survey_id_2,feedback_id_2,scenario_some_id_3,information_card_id_3,comp_information_card_id_3,game_end_survey_ID_3,feedback_id_3,game_scenario_description_1,game_scenario_description_2,game_scenario_description_3,ai_p0_types,ai_p1_types,midgame_id_1,midgame_id_2,midgame_id_3,feedback_type,ai_player_types_id
C1,S1T1,S2T1,S3T1,C1D0a,4,2,6,3,1000,C1_S1,IC1_1,CC1_1,GE_S1T1,C1_F1,C1_S2,IC1_2,CC1_2,GE_S2T1,C1_F1,C1_S3,IC1_3,CC1_3,GE_S3T1,C1_F1,GD_S1T1,GD_S2T1,GD_S3T1,B,B,S1T1,S2T1,S3T1,1,1
C2,S2T2,S3T2,S1T2,C1D0a,4,2,6,3,1000,C2_S1,IC2_1,CC2_1,GE_S2T2,C1_F1,C2_S2,IC2_2,CC2_2,GE_S3T2,C1_F1,C2_S3,IC2_3,CC2_3,GE_S1T2,C1_F1,GD_S2T2,GD_S3T2,GD_S1T2,C,C,S2T2,S3T2,S1T2,1,2
C3,S3T3,S1T3,S2T3,C1D0a,4,2,6,3,1000,C3_S1,IC3_1,CC3_1,GE_S3T3,C1_F1,C3_S2,IC3_2,CC3_2,GE_S1T3,C1_F1,C3_S3,IC3_3,CC3_3,GE_S2T3,C1_F1,GD_S3T3,GD_S1T3,GD_S2T3,B,B,S3T3,S1T3,S2T3,1,1
C4,S1T3,S3T2,S2T1,C1D1,4,2,6,3,1000,C4_S1,IC4_1,CC4_1,GE_S1T3,C1_F1,C4_S2,IC4_2,CC4_2,GE_S3T2,C1_F1,C4_S3,IC4_3,CC4_3,GE_S2T1,C1_F1,GD_S1T3,GD_S3T2,GD_S2T1,C,C,S1T3,S3T2,S2T1,1,2
C5,S2T2,S1T1,S3T3,C1D1,4,2,6,3,1000,C5_S1,IC5_1,CC5_1,GE_S2T2,C1_F1,C5_S2,IC5_2,CC5_2,GE_S1T1,C1_F1,C5_S3,IC5_3,CC5_3,GE_S3T3,C1_F1,GD_S2T2,GD_S1T1,GD_S3T3,B,B,S2T2,S1T1,S3T3,1,1
C6,S3T1,S2T3,S1T3,C1D1,4,2,6,3,1000,C6_S1,IC6_1,CC6_1,GE_S3T1,C1_F1,C6_S2,IC6_2,CC6_2,GE_S2T3,C1_F1,C6_S3,IC6_3,CC6_3,GE_S1T3,C1_F1,GD_S3T1,GD_S2T3,GD_S1T3,C,C,S3T1,S2T3,S1T3,1,2
C7,S1T2,S2T1,S3T1,C1D1,4,2,6,3,1000,C7_S1,IC7_1,CC7_1,GE_S1T2,C1_F1,C7_S2,IC7_2,CC7_2,GE_S2T1,C1_F1,C7_S3,IC7_3,CC7_3,GE_S3T1,C1_F1,GD_S1T2,GD_S2T1,GD_S3T1,B,B,S1T2,S2T1,S3T1,1,1
C8,S2T1,S3T3,S1T1,C1D1,4,2,6,3,1000,C8_S1,IC8_1,CC8_1,GE_S2T1,C1_F1,C8_S2,IC8_2,CC8_2,GE_S3T3,C1_F1,C8_S3,IC8_3,CC8_3,GE_S1T1,C1_F1,GD_S2T1,GD_S3T3,GD_S1T1,C,C,S2T1,S3T3,S1T1,1,2
C9,S3T3,S1T2,S2T2,C1D1,4,2,6,3,1000,C9_S1,IC9_1,CC9_1,GE_S3T3,C1_F1,C9_S2,IC9_2,CC9_2,GE_S1T2,C1_F1,C9_S3,IC9_3,CC9_3,GE_S2T2,C1_F1,GD_S3T3,GD_S1T2,GD_S2T2,B,B,S3T3,S1T2,S2T2,1,1
C10,S1T2,S3T3,S2T1,C1D0b,4,2,6,3,1000,C10_S1,IC10_1,CC10_1,GE_S1T2,C1_F1,C10_S2,IC10_2,CC10_2,GE_S3T3,C1_F1,C10_S3,IC10_3,CC10_3,GE_S2T1,C1_F1,GD_S1T2,GD_S3T3,GD_S2T1,C,C,S1T2,S3T3,S2T1,1,2
